ID,latitude,longitude,NAME,Review_num,Rating,Categories,Price
ubAiG5pgaQazJpoFHfViMg,34.10538345,-118.3189041,Birds,1043,3.8,"New American, Bars, Breakfast & Brunch",$$
jS8MhTJpHmGYuxcKonGG-A,34.1002441,-118.2906102,Kismet,645,3.8,"Mediterranean, New American, Middle Eastern",$$
1QFsgA90ajE4g2oil9Pekg,34.0688282,-118.2988161,Goobne Chicken,2,5,"Chicken Wings, Chicken Shop, Korean",
ul2dT8QzauKP5Yc-q_DZ_g,34.09979,-118.29021,HomeState,1409,4.3,"Tex-Mex, Breakfast & Brunch, Tacos",$$
jcUgGKhk1NbzNBED6e_tPg,34.05083047,-118.241825,Azay,335,4.6,"Japanese, French",$$
iBAScvqX3xilR9IshyyiMA,34.04122379,-118.2651709,Yakitana,18,3.8,"Japanese, Food Trucks",
zBislTa0HO756Q-G_1pTwg,34.06333419,-118.2939712,Chi Chi,148,4.2,"Korean, Bars",
HT4YTaRDyfGliUQb303kVA,34.06207412,-118.345557,Caribbean Soul Kitchen La,135,4.7,"Caribbean, Empanadas, Seafood",$$
KLUryRjCkaiYgGD1BxAPtA,34.10546427,-118.323704,Clark Street Diner,238,4.1,Diners,$$
OVYbBxiA-MFNE3wSKlSlgg,34.072075,-118.36748,The Little Door,2651,4.1,"French, Mediterranean, Modern European",$$$
gAMhVggfelvAxE40Bg-ywQ,34.07266,-118.25174,OTOTO,149,4.1,"Bars, Japanese",$$
Gler-blXeDRz6YnNnrEd5g,34.06147698,-118.239483,Lasita,198,4.5,"Filipino, Wine Bars, New American",$$
rYPQv2bCk2orpbHCBfY5Uw,34.03281109,-118.3329371,Johnny's,555,4,"American, Bars, Desserts",$$
6uCcRqFET5kCO41lg-jDgg,34.06617,-118.39872,The Honor Bar,1906,4.3,"Bars, Sandwiches, Burgers",$$
ZKltkN5lOxH1tLeVAO2b6A,34.02464249,-118.3813236,Destroyer,835,4.1,New American,$$
ISl4TG4ski6eSdjJwh3zlg,34.090867,-118.392441,LAVO Los Angeles,464,3.8,Italian,$$$$
0IeIzElSBK1XJVqtzFvRlA,34.06635754,-118.3096243,Pixiu Mala Hongtang,156,4.3,"Chinese, Hot Pot, Korean",$$
ktUtN287fE34-4XZupuGSA,34.0723701,-118.3443655,The Sycamore Kitchen,985,4,"Cafes, Bakeries",$$
dNxZ53R6QUYOFtd2q0-S2Q,34.0837244,-118.3423348,Casablanca Moroccan kitchens,519,4.8,"Moroccan, Mediterranean, Halal",
98nL1641VKFPGBjCjVlaNA,34.041642,-118.251556,Anwar's Kitchen,315,4.6,"Mediterranean, Middle Eastern, Halal",$$
mkZq_pN9uMeBvOaDrgWDVQ,34.07402,-118.25153,Poltergeist,69,4.5,Pop-Up Restaurants,
_kMJy8xjFLhIxnAsEDOs_g,34.09655,-118.36964,The Naughty Pig,133,4.5,"Sports Bars, Venues & Event Spaces, American",$$
LY7ERi0y0OPzk-pNhFadDw,34.04611,-118.23427,Camphor,304,4.2,"French, Brasseries",$$$$
sPw1o5OYWE5C2JtbTXp5wg,34.0786401,-118.3613451,Jon & Vinny's Fairfax,2543,3.7,"Italian, Breakfast & Brunch, Pizza",$$
