OID_,GEOID_CT2010,MEAN_ADI_NATRANK,MEDIAN_ADI_NATRANK,MEAN_ADI_STATERNK,MEDIAN_ADI_STATERNK,Shape_Length,Shape_Area,GEOID_CT2010_txt
1886,6037228420.000000000000000,59.500000000000000,59.500000000000000,9.000000000000000,9.000000000000000,0.023400158443985,0.000027071683590,06037228420
1887,6037228500.000000000000000,34.666666666666664,34.000000000000000,8.000000000000000,8.000000000000000,0.028105539294079,0.000043806992827,06037228500
1888,6037228600.000000000000000,44.000000000000000,44.000000000000000,9.000000000000000,9.000000000000000,0.029276868248446,0.000051425626889,06037228600
1889,6037228710.000000000000000,32.500000000000000,32.500000000000000,7.500000000000000,7.500000000000000,0.026889752242368,0.000039500782819,06037228710
1890,6037228720.000000000000000,39.666666666666664,44.000000000000000,8.666666666666666,9.000000000000000,0.026856477360830,0.000039438649654,06037228720
1891,6037228800.000000000000000,27.750000000000000,30.000000000000000,7.000000000000000,7.500000000000000,0.036961430789624,0.000082407610013,06037228800
1892,6037228900.000000000000000,45.000000000000000,45.000000000000000,8.500000000000000,8.500000000000000,0.029742685169977,0.000050301462327,06037228900
1893,6037229100.000000000000000,40.000000000000000,40.000000000000000,8.500000000000000,8.500000000000000,0.028046127921225,0.000046353209506,06037229100
1894,6037229200.000000000000000,44.000000000000000,44.000000000000000,8.500000000000000,8.500000000000000,0.027451776844848,0.000043490114031,06037229200
1895,6037229300.000000000000000,33.333333333333336,31.000000000000000,8.000000000000000,8.000000000000000,0.029151599771113,0.000049076985386,06037229300
1896,6037229410.000000000000000,37.000000000000000,37.000000000000000,8.000000000000000,8.000000000000000,0.029594435743784,0.000052927467595,06037229410
1897,6037229420.000000000000000,28.500000000000000,28.500000000000000,7.000000000000000,7.000000000000000,0.030544677839777,0.000056999462862,06037229420
1898,6037231100.000000000000000,40.000000000000000,39.000000000000000,8.333333333333334,8.000000000000000,0.039278193577256,0.000087261577991,06037231100
1899,6037231210.000000000000000,35.000000000000000,35.000000000000000,8.000000000000000,8.000000000000000,0.023210056793608,0.000031298651436,06037231210
1900,6037231220.000000000000000,34.500000000000000,34.500000000000000,8.000000000000000,8.000000000000000,0.040607697465010,0.000094202267585,06037231220
1901,6037231300.000000000000000,29.500000000000000,29.000000000000000,7.250000000000000,7.000000000000000,0.032169349080480,0.000064167990389,06037231300
1902,6037231400.000000000000000,26.333333333333332,24.000000000000000,7.000000000000000,7.000000000000000,0.031177178435864,0.000060613340731,06037231400
1903,6037231500.000000000000000,28.333333333333332,28.000000000000000,7.000000000000000,7.000000000000000,0.039364126363290,0.000089707528462,06037231500
1904,6037231600.000000000000000,25.399999999999999,26.000000000000000,6.800000000000000,7.000000000000000,0.040335780601651,0.000093168116206,06037231600
1905,6037231710.000000000000000,25.333333333333332,30.000000000000000,6.333333333333333,7.000000000000000,0.023280678119444,0.000031599063960,06037231710
1906,6037231720.000000000000000,35.333333333333336,35.000000000000000,8.000000000000000,8.000000000000000,0.027148447334422,0.000046087171026,06037231720
1907,6037231800.000000000000000,29.000000000000000,29.000000000000000,7.333333333333333,7.000000000000000,0.028519934034882,0.000050773398917,06037231800
1908,6037231900.000000000000000,35.500000000000000,35.500000000000000,8.000000000000000,8.000000000000000,0.029979660100063,0.000055510133315,06037231900
1909,6037232110.000000000000000,34.000000000000000,34.000000000000000,7.500000000000000,7.500000000000000,0.025618812958337,0.000037085023412,06037232110
1910,6037232120.000000000000000,32.000000000000000,32.000000000000000,7.666666666666667,8.000000000000000,0.028889129611403,0.000050926670863,06037232120
1911,6037232200.000000000000000,30.000000000000000,30.000000000000000,7.333333333333333,7.000000000000000,0.034216211761468,0.000051033448599,06037232200
1912,6037232300.000000000000000,25.000000000000000,27.000000000000000,6.666666666666667,7.000000000000000,0.036090230170180,0.000061355535528,06037232300
1913,6037232400.000000000000000,30.800000000000001,34.000000000000000,7.400000000000000,8.000000000000000,0.042419157145023,0.000108605857789,06037232400
1914,6037232500.000000000000000,33.750000000000000,29.500000000000000,7.500000000000000,7.000000000000000,0.037090913664930,0.000074907845136,06037232500
1915,6037232600.000000000000000,33.333333333333336,34.000000000000000,7.666666666666667,8.000000000000000,0.038133859277434,0.000077599678355,06037232600
1916,6037232700.000000000000000,30.666666666666668,29.000000000000000,7.333333333333333,7.000000000000000,0.035313800901664,0.000071347606355,06037232700
1917,6037232800.000000000000000,35.500000000000000,35.500000000000000,8.000000000000000,8.000000000000000,0.026115353483846,0.000041630265353,06037232800
1918,6037234000.000000000000000,18.000000000000000,17.000000000000000,5.200000000000000,5.000000000000000,0.051822480382556,0.000121205130047,06037234000
1919,6037234200.000000000000000,14.333333333333334,15.000000000000000,4.666666666666667,5.000000000000000,0.038525905736761,0.000086174481000,06037234200
1920,6037234300.000000000000000,16.750000000000000,17.000000000000000,5.000000000000000,5.000000000000000,0.037427242824551,0.000084934103566,06037234300
1921,6037234501.000000000000000,32.500000000000000,32.500000000000000,8.000000000000000,8.000000000000000,0.040050507924536,0.000073361583161,06037234501
1922,6037234502.000000000000000,30.333333333333332,29.000000000000000,7.333333333333333,7.000000000000000,0.037094286033010,0.000053170687713,06037234502
1923,6037234600.000000000000000,21.500000000000000,21.500000000000000,6.000000000000000,6.000000000000000,0.055919258447023,0.000127224827275,06037234600
