OBJECTID,CT20,LABEL,Shape__Area,Shape__Length
305,134305,1343.05,524244.73828125,2986.87731091718
306,134306,1343.06,908606.3203125,3815.39248932086
307,134421,1344.21,3128335.73046875,7127.56772797065
308,134422,1344.22,3441549.9609375,9417.4086780749
309,134423,1344.23,2297243.34375,6797.67185668427
310,134424,1344.24,3592551.20703125,11053.6993393564
311,134520,1345.20,1417378.3359375,4854.53327429392
312,134521,1345.21,515595.7578125,3023.03528340774
313,134522,1345.22,901803.37109375,3792.2788339979
314,134710,1347.10,836342.44140625,3670.48273135686
315,134720,1347.20,1450310.01953125,4906.24224502162
316,134801,1348.01,1354338.9453125,4802.42214687179
317,134802,1348.02,1392349.94140625,4756.77085254043
318,134901,1349.01,1555911.02734375,5597.43823267198
319,134904,1349.04,1523442.74609375,5781.87384167002
320,134905,1349.05,3789348.36328125,8133.9453727277
321,134906,1349.06,256104.95703125,2705.98925586426
322,134907,1349.07,573611.69140625,3468.85976416205
323,135102,1351.02,2444460.48828125,6999.78857159551
324,135111,1351.11,1523389.27734375,4965.28189901471
325,135113,1351.13,942750.578125,4819.15154217328
326,135115,1351.15,488601.99609375,3014.3465759158
327,135116,1351.16,1372012.234375,4807.67438155647
328,135201,1352.01,2244218.109375,6867.44449569239
329,135202,1352.02,2582388.5234375,6577.71282650643
330,135204,1352.04,2721484.7890625,6915.03392191355
331,135205,1352.05,3031714.6328125,12020.5722989585
332,137000,1370.00,4408342.81640625,12021.7800846113
333,137103,1371.03,1112689.80078125,4346.07615017918
334,137104,1371.04,3756305.13671875,8627.12522015824
335,137202,1372.02,1274232.6875,4798.43607393837
336,137203,1372.03,1646388.30859375,5356.3916364569
337,137301,1373.01,2357668.8359375,7469.35834840815
338,137302,1373.02,3583797.7578125,9244.37588812315
339,137401,1374.01,3480914.84765625,9732.76698421075
340,137402,1374.02,4506849.078125,11385.0697071311
341,137501,1375.01,3681809.64453125,8932.12077305118
342,137502,1375.02,3060563.7109375,7101.79862865869
343,137504,1375.04,5616957.1171875,12131.375371123
344,138000,1380.00,6545948.58984375,11522.5242079801
345,139001,1390.01,1815847.5546875,6538.67827830322
346,139200,1392.00,1687312.1640625,5170.05405302175
347,139301,1393.01,4197422.62890625,9918.89209835792
348,139302,1393.02,495484.2734375,2938.53696216156
349,139303,1393.03,608674.04296875,3337.14032127419
350,139401,1394.01,1328630.44140625,4694.12697062198
351,139402,1394.02,3578783.01953125,10539.6098731925
352,139502,1395.02,1533837.28515625,6256.07866378826
353,139504,1395.04,423295.78125,2991.88698571362
354,139505,1395.05,247805.54296875,2455.58156402746
355,139506,1395.06,267250.11328125,2320.47067935518
356,139600,1396.00,3627658.265625,7658.02347451847
357,139701,1397.01,4975925.94140625,12154.9865309603
358,139703,1397.03,6921127.66015625,15267.2133666025
359,139704,1397.04,9294810.5234375,16196.6233898015
360,139705,1397.05,4453957.7421875,14227.9934279494
361,139801,1398.01,5367638.45703125,10247.0306665718
362,139802,1398.02,8892691.3046875,17331.6359743868
363,141101,1411.01,1111220.59375,4326.57924665425
364,141102,1411.02,1140113.234375,5653.88088632262
365,141201,1412.01,1026241.16796875,4466.15053887664
366,141202,1412.02,1024825.703125,4665.7481722051
367,141303,1413.03,384662.01953125,2618.77882175992
368,141304,1413.04,1042572.484375,5215.8922431397
369,141305,1413.05,1011915.30078125,4209.31445384401
370,141306,1413.06,876978.91015625,4590.01357724382
371,141400,1414.00,2902270.9375,7170.3962775043
372,141500,1415.00,4793020.2421875,11592.1421303742
373,141600,1416.00,5714970.94140625,13819.811603136
374,141700,1417.00,4747283.265625,11798.0477348535
375,143101,1431.01,2002759.07421875,6813.2172874652
376,143102,1431.02,572635.57421875,3200.08987166423
377,143200,1432.00,1400949.4765625,5182.11925466161
378,143301,1433.01,849609.5703125,4833.26522417243
379,143302,1433.02,1517445.79296875,5909.38953843431
380,143401,1434.01,1623658.453125,5520.16233287177
381,143402,1434.02,948879.0078125,3902.68045865976
382,143500,1435.00,1812325.08203125,6962.84473318483
383,143602,1436.02,1785567.6875,6144.47582515513
384,143603,1436.03,769059.80078125,4970.5400489069
385,143605,1436.05,481949.84765625,3038.78606542284
386,143606,1436.06,356137.734375,4541.31361422058
387,143700,1437.00,4806235.2265625,13787.6444591843
388,143801,1438.01,2094595.24609375,7897.91456118776
389,143802,1438.02,1704254.765625,11615.8918276973
390,143901,1439.01,7745374.9453125,15503.9303128904
391,143902,1439.02,3697795.796875,12625.4924668014
392,181000,1810.00,6054295.87890625,13920.7379732346
393,181300,1813.00,2108285.2109375,7896.36709346758
394,181400,1814.00,1286522.70703125,5315.10478286824
395,181500,1815.00,1601291.43359375,6595.39409674321
396,181600,1816.00,1828892.765625,6616.75340855529
397,183101,1831.01,1415937.19140625,6283.49817715189
398,183103,1831.03,961698.30859375,7263.55460161182
399,183104,1831.04,975304.82421875,5929.32753171852
400,183220,1832.20,782907.87109375,4907.7701318877
401,183221,1832.21,1033931.21875,4729.55114137552
402,183222,1832.22,1358716.1640625,6229.03308056125
403,183300,1833.00,791809.51953125,3784.3358819274
404,183401,1834.01,709943.79296875,3864.19637608565
405,183402,1834.02,751156.6015625,4138.82436401828
406,183510,1835.10,731936.7265625,3853.1913702378
407,183520,1835.20,625490.921875,3382.65557358148
408,183610,1836.10,553778.46484375,3617.14045816014
409,183620,1836.20,756837.76953125,3481.86151291593
410,183701,1837.01,805591.41796875,4619.61320531949
411,183702,1837.02,1304948.85546875,6308.21811289891
412,183810,1838.10,665251.75,3792.21286936302
413,183820,1838.20,451309.48046875,3864.88163447114
414,185101,1851.01,1191799.68359375,6879.85997985604
415,185102,1851.02,2139205.796875,10202.1537661876
416,185202,1852.02,1762650.88671875,6417.94009496183
417,185203,1852.03,801363.078125,4403.72031807517
418,185204,1852.04,1408990.63671875,6398.25740833846
419,185310,1853.10,615533.9296875,4482.88979763661
420,185320,1853.20,812924.46875,4696.78218469826
421,186100,1861.00,1970754,8100.52606145443
422,186201,1862.01,763603.38671875,4462.5900146279
423,186202,1862.02,597176.96875,4073.19260805966
424,186203,1862.03,1232505.87890625,5833.18990872267
425,186301,1863.01,1697606.01171875,6600.5446169024
426,186302,1863.02,2464676.68359375,6602.06202393672
427,186401,1864.01,1409287.65625,6595.1270822239
428,186403,1864.03,797974.1328125,4424.00816027279
429,186404,1864.04,586592.6875,3270.85680802543
430,187101,1871.01,1152704.859375,4760.38593585207
431,187102,1871.02,3203210.57421875,14151.6630010747
432,187200,1872.00,1391022.7734375,5734.67123164567
433,187300,1873.00,1708977.41796875,7175.7989695799
434,188100,1881.00,3084899.7421875,9585.05336321772
435,188201,1882.01,1135186.0546875,6276.72507510077
436,188202,1882.02,1111189.10546875,4344.90483423014
437,188300,1883.00,1349911.86328125,4679.55582096775
438,189101,1891.01,577917.23828125,3043.45267915032
439,189102,1891.02,918777.29296875,4485.2154921927
440,189201,1892.01,476233.96875,2928.19720614682
441,189202,1892.02,1513055.32421875,6406.23492100814
442,189300,1893.00,2778587.36328125,9511.71291035477
443,189400,1894.00,2116331.08984375,10780.1148265641
444,189501,1895.01,501518.78125,3429.47149559195
445,189502,1895.02,364552.61328125,2691.12450383744
446,189600,1896.00,1565749.53125,7442.85592712146
447,189702,1897.02,2133158.078125,8527.75357793678
448,189703,1897.03,4950927.22265625,15991.7935234862
449,189704,1897.04,1424369.89453125,9544.74451857118
450,189801,1898.01,596319.5546875,3706.13577555389
451,189802,1898.02,461118.453125,2881.74056700638
452,189903,1899.03,122772.8359375,1528.00428679379
453,189904,1899.04,233341.578125,1946.67947773936
454,189905,1899.05,377750.29296875,2572.06098663779
455,189906,1899.06,287481.82421875,2161.8456866639
456,189907,1899.07,230457.5703125,1925.91870459184
457,190101,1901.01,328060.7890625,2516.70834759421
458,190102,1901.02,549167.91015625,3230.44716081485
459,190201,1902.01,331696.02734375,2560.80475744542
460,190202,1902.02,309068.17578125,2447.09419189218
461,190302,1903.02,350684.484375,3472.8328160894
462,190303,1903.03,239103.64453125,1953.18205957352
463,190401,1904.01,244080.1953125,1972.70877308693
464,190402,1904.02,229773.94140625,1924.529052247
465,190510,1905.10,465503.8125,2938.97473587026
466,190520,1905.20,356682.52734375,2435.79377867347
467,190701,1907.01,646966.51171875,3641.664223178
468,190702,1907.02,292395.1484375,2177.25100383875
469,190801,1908.01,473924.5859375,2922.99196211241
470,190802,1908.02,711573.41015625,3409.93145686991
471,190901,1909.01,716603.984375,3425.12879519406
472,190902,1909.02,711912.6328125,3412.67494848786
473,191000,1910.00,948459.2109375,4120.23761969517
474,191110,1911.10,398743.87109375,2764.17806145142
475,191120,1911.20,554988.69921875,3083.84461967682
476,191201,1912.01,836686.9375,3667.20194120524
477,191203,1912.03,299977.48828125,2206.30466673667
478,191204,1912.04,293950.84375,2181.81032205755
479,191301,1913.01,399852.54296875,3144.69245998444
480,191302,1913.02,617631.0234375,3448.18131732242
481,191410,1914.10,455143.4140625,2740.09293296824
482,191420,1914.20,332031.76953125,2435.73663130215
483,191500,1915.00,937459.82421875,3806.01754118739
484,191610,1916.10,610836.74609375,3468.03577315411
485,191620,1916.20,334501.06640625,2587.61611491726
486,191710,1917.10,1035729.65625,4865.24262093162
487,191720,1917.20,386361.03125,2558.92556543488
488,191810,1918.10,590878.65234375,3399.62633316472
489,191820,1918.20,591542.08984375,3401.5550799762
490,191901,1919.01,1130107.5625,4379.50507026189
491,191902,1919.02,1061486.765625,4261.91054237651
492,192001,1920.01,775728.65625,4272.63469239828
493,192002,1920.02,1254436.046875,4719.92014749902
494,192300,1923.00,1285258.59765625,4605.30561900934
495,192410,1924.10,999428.60546875,3999.12803184542
496,192420,1924.20,474802.9921875,2926.21507652174
497,192510,1925.10,497956.59765625,2993.23419096686
498,192520,1925.20,449815.19921875,2878.87407536595
499,192610,1926.10,607082.3828125,3370.03746741416
500,192620,1926.20,355910.84375,2675.50103706065
501,192700,1927.00,776294.3203125,3543.20690388876
502,194101,1941.01,3718641.53125,12497.051754538
503,194102,1941.02,5124376.484375,14117.5011612458
504,194200,1942.00,3806326.640625,10893.0942132409
505,194300,1943.00,3612729.62890625,13007.1111181653
506,194401,1944.01,677942.4609375,3594.37361439923
507,194402,1944.02,860898.1953125,5336.09380223071
508,194500,1945.00,994716.18359375,5480.06449037346
509,195100,1951.00,2771179.17578125,8009.32442648799
510,195201,1952.01,878617.9453125,5084.08017182452
511,195202,1952.02,1283747.8203125,5353.37943599741
512,195300,1953.00,848490.26953125,4077.36527026241
513,195400,1954.00,1506131.90625,6283.82457919739
514,195500,1955.00,1776214.1796875,7364.24329487782
515,195600,1956.00,771006.57421875,4113.23658286367
516,195710,1957.10,706354.37890625,3597.75806501283
517,195720,1957.20,422246.75390625,3077.06159157438
518,195802,1958.02,588176.09765625,3658.33037338923
519,195803,1958.03,551534.0859375,3321.8973324718
520,195804,1958.04,490796.42578125,2841.43850779292
521,195901,1959.01,425170.9765625,3021.038641907
522,195902,1959.02,508190.94921875,3029.68035714455
523,195903,1959.03,347927.3671875,2484.55106031963
524,197200,1972.00,1135911.7109375,5466.58626504507
525,197300,1973.00,956123.484375,5609.81242577302
526,197410,1974.10,2036753.3671875,6831.53359425145
527,197420,1974.20,899653.84765625,4285.29830378784
528,197500,1975.00,935815.3828125,3839.04519755969
529,197600,1976.00,567301.53515625,3836.16180447519
530,197700,1977.00,1025270.53125,5130.600125419
531,199001,1990.01,365099.33984375,2958.20433349757
532,199002,1990.02,1965847.1015625,7672.84921170058
533,199110,1991.10,1318094.39453125,5253.600615939
534,199120,1991.20,1405331.58203125,6067.515805097
535,199201,1992.01,577469.69140625,3291.43323300739
536,199202,1992.02,1394809.90234375,6744.71296537548
537,199300,1993.00,3788006.5390625,11658.1204454884
538,199400,1994.00,1018955.01171875,6243.5555924653
539,199700,1997.00,1417969.48828125,5109.23929325567
540,199801,1998.01,504100.05078125,3482.73796884129
541,199802,1998.02,447423.703125,3264.37782405785
542,199900,1999.00,647181.99609375,3741.01668014877
543,201110,2011.10,1482202.53515625,5965.60978097462
544,201120,2011.20,1154225.703125,5098.76071017545
545,201200,2012.00,644404.3046875,3842.79591963294
546,201301,2013.01,1266066.06640625,7211.37939696958
547,201302,2013.02,1449880.52734375,5531.98270635634
